clean_text,sentiment
ömürboyu borçlu mazlum müslüman müebbet nafaka köleleri yıldır nefes alamıyor,Negative
mayısta türkiye sizi tarihin çöplüğüne gömecek,Negative
meb öğrenim özrü haric herşeyi düsünüyor bizide düsünüp hakkimizi verin,Negative
reis yürü millet yürüsün arkandan,Positive
yazik istedigi gibi oynatiyor oynamaya merakli ne kadar cahil insan var bu ülkede,Negative
asıl olan nedir acaba gelecek hafta tam gün yuzyuze zorunlu oğlumun okulunda hergun saatlik sınav var asıl olan ne zaman okullara bildirilecek yuzyuze sınava göndermek istemiyoruz,Negative
sizler eger vatanseverseniz adam gibi destek verirdiniz yaziklar olsun sizlere,Negative
valla bi italyan ispanyol sırp kosova li kadar değerimiz yok onlar bizim maskeleri taksinlar bizde anca sipariş verdik gelecek diye bekleyip duralım tam sefer başvurduk bu kısa süre hiçbir zaman demek,Negative
den yargılananlara indirim için destek istiyoruz ne olur yalvarıyorum size sesimizi duyun sadece yıl ds çözüm değil ne olur sesimiz olun allah rızası için ne olur destek olun bizde sevinelim,Neutral
allah rahmet eylesin mekanı cennet olsun inşaallah,Positive
bu olaya ei atilmazsa ben sağlığımdan olacam babam erciyes üniversite hastanesi yoğun bakımı ünitesinde yaklaşık ay kaldı bu süre içinde iyi doktor olduğunu duyduğum bir doktora kez gidip yalvardım babama bir baksın diye ama o dr her seferinde başkasının hastasına,Negative
meb den bizim jenerasyona bu şarkı gelsin,Neutral
o kadar olay oluyor siz hala burada mısınızbi hesap falan sorsanız hani,Negative
bune abi ne bu bu ahlaksız tiktok platformunu ne zaman kapatacaksiniz,Negative
devletinbağlı hiçbir mal ve hizmete enflasyonun üstündemaaşlara ise enflasyonun altında zam yapmaması gereğine inanıyor musunuzuyarmısınız,Neutral
siz bu çığlıkları duymuyor musunuz allahaşkına,Negative
sözcüsü gündemin önemli başlıklarını bugün da trt haberde değerlendirecek,Neutral
kamu mühendis leri onurlu bir yaşam istiyor,Neutral
meb engelli öğretmenin sesini duymali,Neutral
gelecek erdoğanla gelecek,Positive
savcı selim kirazı şehit edenlerle kol kola yürümek ne hoş diimi,Negative
sayın başkan yalovanın seçilmiş belediye başkanı masak ve bilirkişi raporu sonucunda suçsuz olduğu ortaya çıktı neden görevine iade edilmiyor neden sessizsiniz,Negative
siz rejim baskanlık bu gibi seylerle avunursunuz ancak,Negative
haftalık fikra yayınlanmış,Neutral
sayın cumhur başkanımız van a gelecek misiniz yine,Neutral
bu ülkenin yönetimine talip olacaksan siyasi etik siyasi ahlak siyasi adamlik siyasi milli ruh gerekir bir insandabunlarin hiç biri sende yok cesaretin varsa çik karşisinakorkakkk,Negative
adam manipülasyoncu adam vatan haini elini kolunu sallayarak geziyor ortada çünkü o karşı tarafın çocuğu,Negative
ağustos ataması hakkında resmi açıklama bekliyoruz,Neutral
bekletmeyin bizi,Neutral
tabi ya reis sen tehdit ettin hemen hamlede bulundular allahını seversen aday ol,Neutral
valla yalan billa yalan sadece erdoğan ın koltuk kaybetmemesi için yi bitirdiniz naaıl bir tehtit aldınızdsa namus şeref sözü verip yargılayacağınız adamın kölesi oldunuz anayasa taslağınızda sadece erdoğanın koltuğu kaybetmemesi var bom boş bir taslak,Negative
değerli büyüklerim bizler kamuda çalışan ve ne yazikki söz verilmesine rağmen hala kadro alamamış şöförleriz başbakanlıkta çalışıp kadro alan arkadaşlarımız emsal teşkil eder herkes için eşitlik,Negative
allah rahmet eylesin şehidimize geride kalanlarına sabırlar versin vatan sağolsun,Positive
toplumun temel yapı taşı ailedir her fırsatta çıkıp ailenin öneminden bahsediliyor ama aileleri yıl ayrı koymak nasıl bir çelişkidir yuvalar yıkılıyor herkes bu duruma kulaklarını tıkamış durumda sözleşmeli öğretmenlere eş özrünün gelmesini talep ediyoruz,Negative
reis izindeyiz,Positive
sen bi kenara cekilsen yada akp ye uye olsan mhp den uzak dursan bozkurtlar bi sahlanacak bi guclenecekki tek engel sensin,Negative
hayırlı olsun,Positive
arkadaşlar fransa devlet lideri de psa grubu otomotiv kullanıyor özel şirket diye ülkenin ekonomisine katkı sağlayabilecek markaları göz ardı mı edelim,Neutral
allah rahmet eylesin mekanı cennet olsun ruhu şad olsun,Positive
kurumlarda çalışan kit taşörenleri halen şirketlerde sayın başbakanım reisim hani taşeron kalmayacaktı söz vermiştiniz kadro demiştiniz adalet hak adalet için ayrım yapmayın vicdanlı olun size oy veren aileler küskün kırgın bilesiniz,Negative
ee bu kadar çocuğa ulaşmak çok zordu ne büyük iş yapmişsin ya,Negative
allah yardımcınız olsun dua larim size,Positive
chp den tek bir farkınızı söyleyebilirmisiniz yazık,Negative
hicri yeni yılınızı kutluyorum sayın cumhurbaşkanım allah yar ve yardımcımız olsun inşallah bu yıl ülkemize sağlık huzur getirir amin,Positive
u pkk ya destekten alsalar geç kalmışlar derim kimse pkk ya nin kurumsal kimliği ile sponsor olamaz,Negative
soysuzlara bir soylu cevabı bekliyorum sayın bakanım,Positive
zorunlu sigorta soygunu,Negative
bu direniş hükümet için olduğu müddetçe hazine değerindeki ordumuzun izzetini temizleyemeyeceğiz,Negative
dünya musulmanlar lideri,Neutral
evet demek tüm dünyaya cevap vermektir,Positive
hayırlı uğurlu olsun,Positive
eğer gidip diğer partilerle hükümet kurarsa daha da oy alamaz bizden,Negative
bence bir şey üretmenize gerek yok üretmeseniz de fark edeceklerini zannetmiyorum,Negative
erkek soylu,Negative
atanamayan diplamasi olan ögretmen adayları neyden yararlanacak sayin bakanim,Neutral
yazıktır günahtır asgari ücretle çalışan bir kişi nasıl gidecek işe malatya büyükşehir belediyesi katı zam,Negative
yalancı reco,Negative
fetö diyemediniz daha net belli diyerek peki yolsuzluğu gözünüzle mi gördünüz bu ne ikiyüzlülük,Negative
bir işverene üç denetim olmasın sigortalı üç ayrı yere başvurmasın ilo nun ab nin gereğidir,Negative
tebrik ediyorumboşuna anadolu değiliz,Positive
başkanım loading,Neutral
maşallah allah sizleri her türlü kaza ve beladan korusun,Positive
ondan mı şeriatçılarla ittifak yaptın,Negative
mekani cennet olsun,Positive
